MAT.1.1	Sanqbof heu-aq, 
MAT.5.13	“Nawmaf-aq, mirtsaq-euq saqdeuf mae. Saqdeuf-aq, saqca tav-eu byov-ir nar-aq, aqjox-aer parbi tavlarnya nmr-mq? Saqdeuf khoer nuijeq-euq gharduq gardanr maqtsoeqni pyeuf-ir-euq mirnae, lafnyir shaevdzae-awr aqcawq nawqnawq-aer bican-eu gharduq taef-aer gardanr tsoeq-eu mae.
MAT.5.14	“Nawmaf-aq, mirtsaq-euq yawshaef mae. Gawqjawq-euq uqdu jav-eu meuq-anr maq daeqkaqzaf nya-a. 
MAT.5.15	Tsirkhmq dof-awr, khavpuq nae moftsanq-eu zanr maqjav-a. Paeqzaq mazaq mawrnya’ni tsirkhmq ciqtaq duq-anr ciqdav taq-eu mae. 
MAT.5.16	Khoerlof-aer durni, nawmaf-euq yawshaef khawf aqcawq-euq maeqshi bibya-awq. Khoerlof-aer mr nar-aq, aqcawq, nawmaf mr-eu yawmuiq jeq-anr ya’mawr ngae, mq-euq khoertav jawr-eu nawmaf-euq Aqda-anr jaceuq taef-a.
MAT.5.17	“Ngar, zanrdawq hawr-eu Miqyaer gharduq ngaeqdan-eu deuq-euq dawq-anr lavcawv le-euq nga laer taqnoeq. Ngar lavcawv le-euq maqngeur, mrbyan le-euq ma.
MAT.5.18	Ngar, nawmaf-anr aqdirma-aer aernaeq nyar, mq hawr-eu mir byov-ir jir khawf, zanrdawq-euq lafkhoer-euq sanqbof tiq bof, tiq toeq taef-aer khawf maqbyov-ir-ar, dawqtawvluf ya byanlar taef-a. 
MAT.5.19	Khoermirnae, aqsur ghaq maqkaq, zanrdawq khofdawq-euq lafkhoer nae nyirdzaeq dzaeq-eu tiq dawq-anr maq mrcaw-aer, aqcawq-anr khawf khoerlof-aer maeqnaeq tsovnaeq nar-aq, aqyawf-aq, mqtav mirkhanq-euq lafkhoer nyirdzaeq dzaeq-eu ghaq laer yabi kur taef-a. Aerkhawf, aqsur ghaq maqkaq, aqyawf mrcaw-eu uqtaf, aqcawq khawf khoerlof-aer mrcawni maeqnaeq tsovnaeq nar-aq, aqyawf-aq, mqtav mirkhanq-euq lafkhoer yawhuiq ghaq laer yabi kur taef-a. 
MAT.5.20	Ngar, nawmaf-anr aernaeq nyar, nawmaf-euq tsaq-awr dawr-eu jeq, zanr maeq-eu deuq hawr-eu Paqliqsaer deuq navmaqtser maq myaqdzaeq nar-aq, mqtav mirkhanq-euq lafkhoer tiqjeq ghaenae-iq maqya urler-ar.
MAT.5.21	“
MAT.5.21	laer arhuba-euq tsawrhaq deuq-anr aernaeq taq-euq dawq, nawmaf yagaq-euq mae. 
MAT.5.22	Aerkhawf, ngar, nawmaf-anr aernaeq nyar, tiqjeq-iq garkawv maqjav-eu gar nae nuima kharpaer-eu tsawrhaq-aq, yarkhaq dar-eu gar yadaq taef-a. Aqyuif aqnyir-anr ‘Dawrga’ laer khardaeq-eu tsawrhaq-aq, khavma armur-euq
MAT.5.23	Khoermirnae, nawr lawr-eu jeq, lawrduq-anr yurkeuv laf-awr lawr-eu laer ghae ngae, nawq-euq aqyuif aqnyir, nawq-anr nuima maqsar-eu tiqjeqnav jav-eu gar noeqdovlar nar-aq, 
MAT.5.24	lawr-eu laer ghae-eu jeq, lawrduq-euq maeqshi yurtaq yaf-awr, nawq-euq aqyuif aqnyir naeq-aer tsaqler dzoerlerni jeqhu janr-ir-awq. Khoersanr mirtsa ghoflar-awr lawrnaeq-eu jeq khoer lawrnaeq-awq.
MAT.5.25	“Nawq-anr yarkhaq jaluf-eu ghaq naeq-aer yarkhaq dar-eu nymr-anr leluf ngae, nawnyaf-euq yawkaq yawkawr-aer lavtsaq-awq. Maq lavtsaq nar-aq, aqyawf, nawq-anr yarkhaq dar-eu ghaq-anr a’naeq taef-a. Yarkhaq dar-eu ghaq khawf nawq-anr lofpir-eu kuirlaf-anr a’naeq-awr, nawq-anr kuv-anr dawv taef-a. 
