MAT.1.1	Abraham sapa David sapa Jesu Khrista ahungshuwna puhpee lerii 
MAT.6.7	“Ninnuw ing ninnhiele leentaang Yatihe entu khangkhing ichiin aruw zelha nuhbour maaruw; ajiena ate inche ttong aenhimpaa enrhier taana ithie vate ichiin emmenie ing emmindeen naa. 
MAT.6.8	Emmenie tho chin enghaa maaruw ajiena ate inche Nimmapa ching ninghinnhie malhiele nimvehna chuw aminghuga. 
MAT.6.9	Chang geniiche hanghin ichiin nheruw:
MAT.6.9	‘Thangven na aeong kimmapa,
MAT.6.9	Naromhing enthieng ensuwh resii.
MAT.6.10	Naaruwng lepaa juwng resii,
MAT.6.10	Thangven na atu khangkhing ichiin
MAT.6.10	Lolhii na namindeen unshuwresie.
MAT.6.11	Aanie aanie na kinshaphuw chuw atenie hin ipe sare.
MAT.6.12	Engkhejege kinnuw Jeng kinler aatur hechuw kingkuhpee khangkhin ichiin,
MAT.6.12	kinlertur chuw ikuhpee.
MAT.6.13	Engkhejege kinnuw chuw entheemna soungte irhie samaare,
MAT.6.13	Chang gechuw etthamaa tena kinnuw chuw eetin peere.’
MAT.6.14	“Ajiena ate inche nintaa lina aelaar atu mihe chuw ninnuw ing kuhpee tenuwbe Thangven na eong Nimmapa jeching ninnuw chuw ikuhpee vate. 
MAT.6.15	Chang gechuw nintaa lina aelaar atu mihe chuw ninnuw ing kuhpeemaa tenuwbe nimmapa jeching ninlaar na bekhe chuw ikuhpee maanie.
MAT.6.16	“Engkhejege ninnuw ing vinttaam nintongle ettha embuning atehe khangkhing iya nungchin mindang maaruw, ajiena ate inche emmeniebe vinttaam entongle mi hing imhuw resii tehege iya nungchin emmindangnaa. Atataa ing ninnhingna kii ing kerhiernaa, emmeniebe emmana emphape. 
MAT.6.17	Chang gechuw ninnuw ing vinttaam nintongle nimmhe phieruw, engkhejege ninluwhna thou etehnuwng. 
MAT.6.18	Winttaam nintong chuw mi leentaang hing mhuwmaa heresie, chang gechuw enruwhjeh ing eong Nimmapa ching imhuw resie; engkhejege enruwhjeh ing engeemhuw Nimmapa ching ninnuw chuw mana ipe vate.
MAT.6.19	“Sadie le thiirrhie ing shavang ate engkhejege enruwhing valhuw heniege berovang ente lolhiepaam nahin ninrotum lerchii mingkong maaruw. 
MAT.6.20	Chang gechuw, Sadie le thiirrhie ing shamaa vang ate engkhejege enruwhing valhuw heniege beromaa vang ente Thangven teching ninrotoumna lerchii mingkongruw. 
MAT.6.21	Ajiina ate inche ninler ninchie uwmtaa nachin nimbelungriirje oumvate.
